1,490,0
2,260,0
2,5,0
3,213,0
5,5,0
6,5,0
7,140,10
9,288,8
9,5,2
10,1024,0
12,633,10
14,2529,7
14,673,0
14,539,7
14,1489,7
14,5,0
17,601,0
17,942,10
18,1402,9
20,8,10
21,3003,8
23,1759,4
23,5,0
24,2238,0
25,175,0
25,467,0
25,290,0
25,2245,0
25,2255,0
25,505,0
25,1323,0
25,487,0
25,1165,0
25,1845,10
25,2418,8
25,5,0
25,1208,0
26,496,0
28,3996,0
28,3172,0
28,5,0
30,8,8
33,5,0
34,643,7
36,1460,0
38,4978,9
39,533,8
39,2898,0
40,510,0
41,867,9
44,681,8
47,91,8
48,8,8
49,330,0
50,103,0
51,288,0
51,702,9
52,5,0
53,1374,9
54,901,6
54,510,7
55,793,0
56,196,0
57,998,0
59,805,10
62,1093,0
65,8,8
67,265,0
67,347,0
67,3437,8
67,413,0
67,5,0
68,3090,0
68,326,0
68,3523,0
71,5,9
72,823,0
72,266,7
72,950,0
72,1755,0
72,65,0
72,3614,0
72,2375,0
72,2297,0
73,103,0
74,644,7
75,533,0
76,103,7
77,2565,0
82,164,8
83,5,0
84,2297,0
85,2565,0
85,266,0
85,103,0
85,1289,0
85,1310,0
85,81,0
85,1805,0
85,1518,10
85,6,7
85,1814,7
85,1933,0
85,1931,0
85,1794,0
85,1810,0
85,213,0
85,405,5
85,846,0
85,969,0
85,973,0
85,972,0
85,2898,0
85,967,0
85,2904,0
85,2244,0
85,772,0
85,226,0
85,1740,6
89,212,7
91,5,0
92,1570,7
92,5305,0
95,265,9
97,1849,0
98,490,0
98,2580,9
98,349,0
101,1374,9
103,1058,0
103,3272,0
108,5,0
109,6,0
110,5,0
111,7,10
111,5,0
112,1046,0
112,8,0
113,10,8
114,1027,0
114,81,10
114,90,0
114,15,7
114,8,0
114,505,0
115,17,8
116,18,0
122,24,8
124,5,0
127,10,0
127,3940,10
129,35,8
129,558,0
129,32,0
129,1056,10
129,1058,0
129,727,0
130,36,8
134,5,0
137,5,0
138,125,9
138,42,9
140,53,4
141,56,9
143,62,0
144,64,0
144,65,9
144,63,0
146,1061,0
146,793,0
146,68,0
148,72,10
149,73,10
150,75,8
152,8,8
152,77,10
155,81,0
156,82,0
157,65,6
157,7,0
158,5,2
160,5,0
162,5,0
164,90,7
165,91,0
166,5,0
168,95,8
174,24,0
175,5,0
176,102,0
176,15,9
177,103,5
179,10,0
179,106,5
179,105,0
182,110,0
185,8,7
188,114,0
191,5,0
192,117,6
193,1071,0
193,356,7
193,8,0
193,702,0
193,95,0
194,888,10
194,5,5
196,120,7
197,121,0
198,5,5
200,123,7
200,8,8
201,125,4
202,126,8
204,128,6
205,130,10
205,103,10
205,131,0
209,1083,0
209,348,0
209,1084,0
209,1086,0
209,5,1
211,139,9
212,73,0
212,141,8
212,140,0
214,5,0
215,5,0
218,149,0
220,151,8
222,1093,10
223,244,10
223,1101,0
223,284,0
223,285,9
223,283,0
225,160,1
227,163,9
228,164,0
231,1108,0
231,169,10
231,167,10
231,1110,0
231,1109,9
232,172,0
233,178,0
233,175,8
233,180,0
233,177,0
233,389,0
233,120,0
235,184,0
239,191,0
241,5,0
242,1130,10
242,601,0
242,951,7
242,1124,7
242,110,10
242,164,8
242,226,0
242,1058,0
242,141,0
242,203,8
242,140,0
243,196,0
244,198,0
244,199,0
245,7,7
246,203,0
247,204,4
248,91,0
249,103,8
250,429,6
250,1142,0
250,592,8
252,5,3
257,212,0
258,213,8
260,163,4
263,543,9
263,56,0
263,226,6
263,225,0
263,220,0
263,5,6
264,226,0
265,64,0
265,18,0
266,95,0
266,203,9
267,5,0
268,203,8
271,231,7
271,346,0
271,1156,9
271,431,0
271,703,0
273,234,0
275,236,0
276,237,0
277,356,7
277,103,3
277,8,7
277,238,0
277,400,0
277,5,0
280,5,1
281,240,0
283,242,0
284,244,10
285,251,7
285,678,7
285,249,0
285,248,0
286,10,0
288,73,0
288,253,0
288,1165,0
292,259,7
293,81,6
293,260,0
294,262,0
295,103,7
296,609,0
296,1207,0
296,10,0
296,631,10
296,1211,0
296,1209,0
296,1196,0
296,1198,0
296,1179,0
296,1174,0
296,106,0
296,533,0
296,15,10
296,105,0
296,618,0
296,262,0
296,970,0
296,455,0
296,95,0
296,220,0
296,5,0
296,1208,0
297,1230,0
297,266,7
297,265,0
297,65,0
297,268,6
297,267,6
297,1235,5
298,591,0
298,269,0
300,242,0
303,273,4
305,275,9
306,226,6
309,220,10
309,5,0
310,284,0
310,285,0
310,283,9
314,288,8
315,290,6
315,289,8
316,81,0
318,90,8
323,298,7
324,299,10
324,304,0
324,489,10
325,24,7
329,310,0
330,313,7
331,304,8
331,1323,8
334,643,0
334,321,0
334,349,10
335,81,8
337,5103,0
338,329,0
338,73,0
338,326,6
338,5,0
339,7,0
340,330,0
341,561,8
341,5,1
343,126,0
346,8,0
350,275,0
351,5,0
352,342,8
353,5,0
357,346,10
358,347,10
358,348,10
359,349,6
361,351,0
363,5,0
364,355,7
365,356,6
365,5,0
366,358,0
366,359,0
367,275,10
368,5,0
369,5,2
370,231,0
371,8,9
375,269,0
380,368,0
381,75,0
382,126,8
383,164,7
384,139,7
385,8,7
388,375,10
388,376,3
389,5,5
391,5,0
394,380,0
394,381,0
395,290,7
401,125,10
402,385,8
402,310,0
403,5,0
404,288,0
404,351,7
406,391,0
406,389,0
406,347,0
406,18,0
408,393,4
409,394,10
409,395,10
409,396,10
410,5,0
411,400,0
412,5,0
413,405,5
414,5,0
415,81,9
415,1270,6
418,5,6
419,1272,0
419,1271,0
420,413,0
427,422,0
432,429,9
433,431,8
435,433,5
436,268,0
436,434,0
437,121,5
439,5,0
440,81,9
440,1581,0
441,1061,0
441,631,0
441,1174,0
441,437,0
441,490,8
441,438,0
441,702,0
441,95,0
443,5,0
444,440,0
448,445,7
451,73,8
451,231,9
452,5,0
454,451,0
455,5,0
457,105,0
458,454,0
459,455,10
462,10,7
462,356,7
463,24,0
463,10,0
463,288,0
463,204,0
463,385,7
463,103,4
463,1289,10
463,888,0
463,81,7
463,464,0
463,1282,8
463,1301,0
463,90,10
463,750,0
463,740,0
463,242,0
463,465,0
463,1294,0
463,689,10
463,400,0
463,95,8
463,5,0
463,451,0
463,1302,0
464,7,9
465,349,8
466,128,5
466,467,0
466,1310,0
466,1311,0
466,951,0
468,470,0
469,56,8
472,5,4
473,422,0
473,284,0
473,285,0
473,283,0
474,349,5
476,5,0
